IndiceGene,ProbeSetID,F_ANOVA_7grupos,P_ANOVA_7grupos,FDR_ANOVA_7grupos
24439,1440133_x_at,4.02227063375357,0.00498216111847272,0.0158340108945274
23368,1439062_at,4.02200005048531,0.00498402449318791,0.0158388168452134
41012,1456717_at,4.02184634115221,0.00498508334198533,0.0158410655821095
41132,1456837_at,4.02171038943022,0.00498602006288917,0.0158429259445093
9828,1425522_at,4.02081578990852,0.004992188579932,0.0158614087455804
31219,1446913_at,4.01994172037902,0.00499822332038458,0.0158794639315768
34442,1450147_at,4.01977475324565,0.00499937696889119,0.0158820103313349
43961,1459666_at,4.01966793841781,0.00500011514643961,0.0158832365980823
44802,1460510_a_at,4.01922401390872,0.0050031842600694,0.0158918665619685
21406,1437100_x_at,4.01910733306283,0.00500399127410267,0.0158933105953031
34583,1450288_at,4.01858032188423,0.00500763801891835,0.0159036962975318
11311,1427005_at,4.0185328785339,0.00500796644902657,0.0159036962975318
16341,1432035_at,4.01827939018256,0.00500972162637947,0.0159081500437471
41944,1457649_x_at,4.01800332833357,0.00501163384367687,0.0159131018011596
3613,1419282_at,4.01785530226869,0.00501265950378793,0.0159152380345188
19905,1435599_at,4.01738567312734,0.00501591499179965,0.0159244531919721
5951,1421645_at,4.01726323181188,0.00501676412675256,0.0159260279355717
28585,1444279_at,4.0171780616594,0.00501735487435284,0.0159267822486055
18772,1434466_at,4.01711416438901,0.00501779811961323,0.0159270682660762
32943,1448643_at,4.01673962289491,0.00502039708634772,0.0159341962696248
26155,1441849_at,4.0166216694811,0.00502121586669924,0.0159356735489411
18186,1433880_at,4.01601020090148,0.00502546267139226,0.01594802926699
31142,1446836_at,4.01536843568389,0.00502992397331936,0.0159610638936661
42647,1458352_at,4.01495800557999,0.00503277931585477,0.0159690009796233
18113,1433807_at,4.01456053332373,0.00503554614259383,0.015976656108134
24732,1440426_at,4.01415700993334,0.00503835673463748,0.0159836033485076
5179,1420873_at,4.0141444022227,0.0050384445756354,0.0159836033485076
36523,1452228_at,4.01393372171075,0.00503991267750203,0.0159871361420748
24166,1439860_at,4.01312057547661,0.00504558322674242,0.0160039981088199
621,1416290_a_at,4.01306288610361,0.00504598578467053,0.0160041494285812
8007,1423701_at,4.01258039139664,0.00504935397334938,0.0160137060369897
1116,1416785_at,4.01251806779254,0.00504978921371402,0.0160139602958596
38856,1454561_at,4.01225406309027,0.00505163334462411,0.0160173543538223
10157,1425851_a_at,4.01223835599107,0.00505174308457579,0.0160173543538223
24713,1440407_at,4.01216803495548,0.00505223442366409,0.0160173543538223
630,1416299_at,4.01215244226742,0.00505234337794325,0.0160173543538223
797,1416466_at,4.01211067996502,0.00505263520524668,0.0160173543538223
4217,1419898_s_at,4.01193255167825,0.00505388013288455,0.0160201748575503
1582,1417251_at,4.01154870241969,0.00505656393280451,0.0160275556914341
44138,1459843_s_at,4.0110939584709,0.0050597453622131,0.0160365126901738
6706,1422400_a_at,4.01077038971275,0.00506201036511233,0.0160425640838263
39881,1455586_at,4.01067506081805,0.0050626778778835,0.0160430708486107
14732,1430426_at,4.01064595571759,0.00506288169637648,0.0160430708486107
4928,1420622_a_at,4.01044386599769,0.00506429713821022,0.01604633397214
2189,1417858_at,4.01039734265382,0.00506462304812338,0.01604633397214
44862,1460570_at,4.00998563325436,0.00506750816068879,0.0160543471168323
16381,1432075_a_at,4.00989472062543,0.00506814547782397,0.0160552384066404
42693,1458398_at,4.00947808804919,0.00507106724482076,0.0160633659087415
39162,1454867_at,4.00931742684412,0.00507219440714279,0.0160658079890826
10811,1426505_at,4.00926384427639,0.00507257038902165,0.0160658705839372
31249,1446943_at,4.00883869798564,0.00507555462822218,0.0160737638893406
2036,1417705_at,4.00877807116162,0.005075980338486,0.0160737638893406
2218,1417887_at,4.00875650621743,0.00507613177259658,0.0160737638893406
36120,1451825_a_at,4.00859400455928,0.00507727305087591,0.0160762490780367
34734,1450439_at,4.00780090756966,0.00508284700231565,0.0160927681748991
27259,1442953_at,4.00772281415401,0.00508339619862286,0.0160933772254731
1838,1417507_at,4.00765645516617,0.00508386292115004,0.0160937251075165
37667,1453372_at,4.00756972651426,0.00508447297780013,0.016094526654391
6641,1422335_at,4.00740189318578,0.00508565375110503,0.0160958101793247
43571,1459276_at,4.00739732319515,0.00508568590683067,0.0160958101793247
17509,1433203_at,4.00735991757807,0.00508594911122939,0.0160958101793247
19937,1435631_x_at,4.00700894464723,0.00508841943082738,0.016102498228301
44393,1460100_at,4.00682828114915,0.00508969152298488,0.0161053937681991
26754,1442448_at,4.00657398503933,0.00509148264781922,0.0161099311701484
43362,1459067_at,4.00646133021435,0.00509227634043463,0.0161113121872987
24014,1439708_at,4.00640377748998,0.00509268186990741,0.0161114649982249
10654,1426348_at,4.00601655749897,0.0050954111958802,0.0161189689517705
939,1416608_a_at,4.00566670797721,0.00509787844354326,0.0161256428448762
24822,1440516_at,4.00493132750919,0.00510306868849431,0.0161409286008683
11274,1426968_a_at,4.00448835740744,0.00510619782137955,0.0161489077212967
1495,1417164_at,4.00447284099391,0.00510630746576379,0.0161489077212967
41028,1456733_x_at,4.0043224492616,0.005107370314959,0.0161511364868157
10682,1426376_at,4.00414745896676,0.00510860730124463,0.0161539155783099
4518,1420199_at,4.00405308313989,0.00510927456441479,0.0161540877051713
16970,1432664_at,4.0040384423234,0.00510937808727674,0.0161540877051713
13769,1429463_at,4.00357934298183,0.0051126254287639,0.016163221608207
3718,1419387_s_at,4.00345653544252,0.00511349445111187,0.0161648358617506
6606,1422300_at,4.00339967845008,0.00511389684076435,0.0161649748679081
11329,1427023_at,4.00325293031172,0.00511493556466658,0.0161671251595786
7647,1423341_at,4.00309062669067,0.00511608465400604,0.0161696239649843
41212,1456917_at,4.00295427830559,0.00511705019417685,0.0161715423451454
1640,1417309_at,4.00284893204626,0.0051177963270217,0.0161727671065727
15391,1431085_a_at,4.00255798373626,0.00511985761479861,0.016178147431166
38585,1454290_at,4.00210746131253,0.00512305117041978,0.0161871045843563
25440,1441134_at,4.00200093115376,0.00512380662333867,0.0161883574444271
39285,1454990_at,4.00107161272865,0.00513040182556757,0.0162080591716813
7658,1423352_at,4.00096269895339,0.00513117535317853,0.0162093674864261
20036,1435730_at,4.00080621149004,0.00513228697428469,0.0162117435794379
29978,1445672_at,4.00016112785925,0.00513687206204483,0.016224924941491
27914,1443608_at,4.00011790957168,0.00513717940099978,0.016224924941491
41455,1457160_at,3.99975988723779,0.00513972615807079,0.0162318317663434
15861,1431555_at,3.99962823812747,0.00514066296637938,0.0162323734643906
44130,1459835_s_at,3.99960673344907,0.0051408160096944,0.0162323734643906
14731,1430425_at,3.99958405399484,0.00514097741880126,0.0162323734643906
24929,1440623_at,3.99886401666124,0.00514610468889898,0.0162474251014374
39582,1455287_at,3.99850319897598,0.00514867604388114,0.016254405589744
35738,1451443_at,3.998352256522,0.00514975213254243,0.0162566648652479
19022,1434716_at,3.99820707495613,0.00515078737509866,0.0162587948911202
14050,1429744_at,3.99765748211234,0.00515470833363374,0.0162700329312909
26018,1441712_at,3.99755204150854,0.00515546093841368,0.0162712696839325
